"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 500","12 Mar 2024","31627.67","30005.24"
"NIFTY 500","11 Mar 2024","31811.65","30179.78"
"NIFTY 500","07 Mar 2024","32040.62","30397.01"
"NIFTY 500","06 Mar 2024","31953.91","30314.77"
"NIFTY 500","05 Mar 2024","31957.10","30317.95"
"NIFTY 500","04 Mar 2024","32035.51","30393.55"
"NIFTY 500","02 Mar 2024","32018.73","30377.63"
"NIFTY 500","01 Mar 2024","31906.58","30271.23"
"NIFTY 500","29 Feb 2024","31499.31","29884.84"
"NIFTY 500","28 Feb 2024","31390.09","29781.22"
"NIFTY 500","27 Feb 2024","31817.30","30186.53"
"NIFTY 500","26 Feb 2024","31759.23","30131.72"
"NIFTY 500","23 Feb 2024","31849.62","30217.5"
"NIFTY 500","22 Feb 2024","31802.39","30172.9"
"NIFTY 500","21 Feb 2024","31557.54","29940.77"
"NIFTY 500","20 Feb 2024","31781.65","30154.21"
"NIFTY 500","19 Feb 2024","31728.70","30105.04"
"NIFTY 500","16 Feb 2024","31609.27","29991.72"
"NIFTY 500","15 Feb 2024","31403.73","29797.85"
"NIFTY 500","14 Feb 2024","31219.36","29623.94"
"NIFTY 500","13 Feb 2024","31000.76","29416.61"
"NIFTY 500","12 Feb 2024","30831.81","29256.35"
"NIFTY 500","09 Feb 2024","31279.68","29681.5"
"NIFTY 500","08 Feb 2024","31317.58","29718.13"
"NIFTY 500","07 Feb 2024","31497.14","29891.14"
"NIFTY 500","06 Feb 2024","31378.02","29778.63"
"NIFTY 500","05 Feb 2024","31092.89","29509.32"
"NIFTY 500","02 Feb 2024","31181.94","29594"
"NIFTY 500","01 Feb 2024","30972.56","29395.36"
"NIFTY 500","31 Jan 2024","31011.17","29432.64"
"NIFTY 500","30 Jan 2024","30654.14","29093.82"
"NIFTY 500","29 Jan 2024","30868.87","29297.73"
"NIFTY 500","25 Jan 2024","30369.59","28823.93"
"NIFTY 500","24 Jan 2024","30460.23","28909.99"
"NIFTY 500","23 Jan 2024","30076.99","28546.32"
"NIFTY 500","20 Jan 2024","30696.16","29134.01"
"NIFTY 500","19 Jan 2024","30703.17","29140.67"
"NIFTY 500","18 Jan 2024","30395.29","28850.23"
"NIFTY 500","17 Jan 2024","30509.29","28958.44"
"NIFTY 500","16 Jan 2024","31041.51","29463.6"
"NIFTY 500","15 Jan 2024","31132.31","29549.79"
"NIFTY 500","12 Jan 2024","30913.19","29341.81"
"NIFTY 500","11 Jan 2024","30660.78","29102.22"
"NIFTY 500","10 Jan 2024","30556.65","29003.39"
"NIFTY 500","09 Jan 2024","30465.39","28916.91"
"NIFTY 500","08 Jan 2024","30399.86","28854.7"
"NIFTY 500","05 Jan 2024","30670.51","29111.6"
"NIFTY 500","04 Jan 2024","30593.27","29038.28"
"NIFTY 500","03 Jan 2024","30320.70","28779.57"
"NIFTY 500","02 Jan 2024","30400.92","28855.71"
"NIFTY 500","01 Jan 2024","30480.99","28932.38"
"NIFTY 500","29 Dec 2023","30417.80","28872.4"
"NIFTY 500","28 Dec 2023","30370.94","28827.93"
"NIFTY 500","27 Dec 2023","30210.78","28675.91"
"NIFTY 500","26 Dec 2023","29978.90","28456.4"
"NIFTY 500","22 Dec 2023","29831.49","28316.47"
"NIFTY 500","21 Dec 2023","29654.71","28148.68"
"NIFTY 500","20 Dec 2023","29400.59","27907.46"
"NIFTY 500","19 Dec 2023","30010.85","28486.73"
"NIFTY 500","18 Dec 2023","29989.39","28466.36"
"NIFTY 500","15 Dec 2023","29972.97","28450.77"
"NIFTY 500","14 Dec 2023","29704.91","28196.33"
"NIFTY 500","13 Dec 2023","29356.39","27865.58"
"NIFTY 500","12 Dec 2023","29255.20","27769.55"
"NIFTY 500","11 Dec 2023","29385.81","27897.59"
"NIFTY 500","08 Dec 2023","29281.34","27798.42"
"NIFTY 500","07 Dec 2023","29281.91","27798.95"
"NIFTY 500","06 Dec 2023","29244.57","27763.5"
"NIFTY 500","05 Dec 2023","29101.40","27627.58"
"NIFTY 500","04 Dec 2023","28882.17","27419.46"
"NIFTY 500","01 Dec 2023","28360.55","26924.25"
"NIFTY 500","30 Nov 2023","28161.16","26734.96"
"NIFTY 500","29 Nov 2023","28029.82","26610.28"
"NIFTY 500","28 Nov 2023","27775.75","26369.07"
"NIFTY 500","24 Nov 2023","27621.90","26223.02"
"NIFTY 500","23 Nov 2023","27614.05","26215.89"
"NIFTY 500","22 Nov 2023","27595.66","26198.44"
"NIFTY 500","21 Nov 2023","27594.87","26197.84"
"NIFTY 500","20 Nov 2023","27510.09","26120.03"
"NIFTY 500","17 Nov 2023","27551.74","26159.67"
"NIFTY 500","16 Nov 2023","27539.17","26147.95"
