"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 500","13 Mar 2025","31942.25","29981.37"
"NIFTY 500","12 Mar 2025","32081.82","30112.43"
"NIFTY 500","11 Mar 2025","32142.17","30169.07"
"NIFTY 500","10 Mar 2025","32084.18","30114.87"
"NIFTY 500","07 Mar 2025","32364.23","30377.74"
"NIFTY 500","06 Mar 2025","32369.70","30382.95"
"NIFTY 500","05 Mar 2025","32068.00","30099.76"
"NIFTY 500","04 Mar 2025","31531.88","29597.97"
"NIFTY 500","03 Mar 2025","31498.76","29566.88"
"NIFTY 500","28 Feb 2025","31473.37","29543.05"
"NIFTY 500","27 Feb 2025","32160.49","30188.25"
"NIFTY 500","25 Feb 2025","32323.82","30341.56"
"NIFTY 500","24 Feb 2025","32402.38","30415.34"
"NIFTY 500","21 Feb 2025","32753.50","30744.93"
"NIFTY 500","20 Feb 2025","32975.85","30953.77"
"NIFTY 500","19 Feb 2025","32817.74","30805.44"
"NIFTY 500","18 Feb 2025","32627.75","30627.1"
"NIFTY 500","17 Feb 2025","32691.24","30686.99"
"NIFTY 500","14 Feb 2025","32659.90","30657.77"
"NIFTY 500","13 Feb 2025","33086.76","31059.17"
"NIFTY 500","12 Feb 2025","33091.14","31063.54"
"NIFTY 500","11 Feb 2025","33146.32","31118.65"
"NIFTY 500","10 Feb 2025","33812.23","31743.82"
"NIFTY 500","07 Feb 2025","34246.84","32151.89"
"NIFTY 500","06 Feb 2025","34279.63","32185.41"
"NIFTY 500","05 Feb 2025","34453.97","32349.66"
"NIFTY 500","04 Feb 2025","34363.72","32265.03"
"NIFTY 500","03 Feb 2025","33849.51","31782.29"
"NIFTY 500","01 Feb 2025","34132.24","32047.91"
"NIFTY 500","31 Jan 2025","34130.93","32046.68"
"NIFTY 500","30 Jan 2025","33676.11","31624.11"
"NIFTY 500","29 Jan 2025","33593.20","31546.41"
"NIFTY 500","28 Jan 2025","33084.22","31068.86"
"NIFTY 500","27 Jan 2025","33062.34","31049.05"
"NIFTY 500","24 Jan 2025","33707.25","31654.72"
"NIFTY 500","23 Jan 2025","34053.66","31980.05"
"NIFTY 500","22 Jan 2025","33829.92","31769.94"
"NIFTY 500","21 Jan 2025","33887.69","31824.23"
"NIFTY 500","20 Jan 2025","34481.71","32382.1"
"NIFTY 500","17 Jan 2025","34278.13","32190.92"
"NIFTY 500","16 Jan 2025","34313.80","32228.59"
"NIFTY 500","15 Jan 2025","34055.47","31986.13"
"NIFTY 500","14 Jan 2025","33944.68","31882.07"
"NIFTY 500","13 Jan 2025","33569.22","31529.42"
"NIFTY 500","10 Jan 2025","34447.06","32353.92"
"NIFTY 500","09 Jan 2025","34838.29","32721.38"
"NIFTY 500","08 Jan 2025","35131.01","32996.31"
"NIFTY 500","07 Jan 2025","35304.55","33159.31"
"NIFTY 500","06 Jan 2025","35120.87","32986.78"
"NIFTY 500","03 Jan 2025","35883.72","33703.28"
"NIFTY 500","02 Jan 2025","36060.05","33868.9"
"NIFTY 500","01 Jan 2025","35526.08","33367.38"
"NIFTY 500","31 Dec 2024","35357.90","33209.41"
"NIFTY 500","30 Dec 2024","35329.04","33182.31"
"NIFTY 500","27 Dec 2024","35468.25","33313.05"
"NIFTY 500","26 Dec 2024","35444.76","33297.92"
"NIFTY 500","24 Dec 2024","35401.02","33256.82"
"NIFTY 500","23 Dec 2024","35413.41","33269.09"
"NIFTY 500","20 Dec 2024","35266.62","33131.18"
"NIFTY 500","19 Dec 2024","35950.45","33773.61"
"NIFTY 500","18 Dec 2024","36238.39","34044.11"
"NIFTY 500","17 Dec 2024","36493.34","34283.62"
"NIFTY 500","16 Dec 2024","36898.98","34664.7"
"NIFTY 500","13 Dec 2024","36909.23","34674.34"
"NIFTY 500","12 Dec 2024","36747.20","34522.11"
"NIFTY 500","11 Dec 2024","36907.95","34673.13"
"NIFTY 500","10 Dec 2024","36839.60","34608.92"
"NIFTY 500","09 Dec 2024","36803.45","34574.95"
"NIFTY 500","06 Dec 2024","36835.17","34604.76"
"NIFTY 500","05 Dec 2024","36781.26","34554.11"
"NIFTY 500","04 Dec 2024","36499.26","34289.19"
"NIFTY 500","03 Dec 2024","36374.88","34172.36"
"NIFTY 500","02 Dec 2024","36082.61","33915.54"
"NIFTY 500","29 Nov 2024","35847.40","33694.46"
"NIFTY 500","28 Nov 2024","35573.80","33437.93"
"NIFTY 500","27 Nov 2024","35853.83","33701.2"
"NIFTY 500","26 Nov 2024","35649.51","33509.17"
"NIFTY 500","25 Nov 2024","35635.18","33496.25"
"NIFTY 500","22 Nov 2024","35116.00","33008.46"
"NIFTY 500","21 Nov 2024","34476.59","32407.43"
"NIFTY 500","19 Nov 2024","34766.49","32679.92"
"NIFTY 500","18 Nov 2024","34599.09","32523.99"
"NIFTY 500","14 Nov 2024","34699.38","32618.33"
"NIFTY 500","13 Nov 2024","34618.08","32543.09"
"NIFTY 500","12 Nov 2024","35275.39","33161"
"NIFTY 500","11 Nov 2024","35685.95","33547.1"
"NIFTY 500","08 Nov 2024","35771.65","33627.66"
"NIFTY 500","07 Nov 2024","36023.67","33865.19"
"NIFTY 500","06 Nov 2024","36377.55","34198.19"
"NIFTY 500","05 Nov 2024","35816.90","33672.39"
"NIFTY 500","04 Nov 2024","35561.76","33434.08"
"NIFTY 500","01 Nov 2024","36042.89","33886.63"
"NIFTY 500","31 Oct 2024","35830.98","33687.39"
