"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 500","13 Mar 2026","34186.38","31521.16"
"NIFTY 500","12 Mar 2026","34995.14","32268.39"
"NIFTY 500","11 Mar 2026","35225.15","32480.8"
"NIFTY 500","10 Mar 2026","35705.47","32923.76"
"NIFTY 500","09 Mar 2026","35247.72","32501.67"
"NIFTY 500","06 Mar 2026","35926.53","33127.59"
"NIFTY 500","05 Mar 2026","36270.84","33445.45"
"NIFTY 500","04 Mar 2026","35810.62","33021.08"
"NIFTY 500","02 Mar 2026","36491.59","33649"
"NIFTY 500","27 Feb 2026","37020.38","34136.6"
"NIFTY 500","26 Feb 2026","37470.48","34551.64"
"NIFTY 500","25 Feb 2026","37399.02","34485.75"
"NIFTY 500","24 Feb 2026","37240.51","34339.59"
"NIFTY 500","23 Feb 2026","37528.69","34605.32"
"NIFTY 500","20 Feb 2026","37384.87","34472.72"
"NIFTY 500","19 Feb 2026","37226.45","34327.2"
"NIFTY 500","18 Feb 2026","37783.04","34840.44"
"NIFTY 500","17 Feb 2026","37608.58","34681.8"
"NIFTY 500","16 Feb 2026","37500.33","34582.03"
"NIFTY 500","13 Feb 2026","37245.02","34346.76"
"NIFTY 500","12 Feb 2026","37785.12","34845.32"
"NIFTY 500","11 Feb 2026","37995.17","35039.04"
"NIFTY 500","10 Feb 2026","37944.59","34993.21"
"NIFTY 500","09 Feb 2026","37830.83","34888.62"
"NIFTY 500","06 Feb 2026","37429.30","34519"
"NIFTY 500","05 Feb 2026","37388.00","34482.17"
"NIFTY 500","04 Feb 2026","37582.10","34662.35"
"NIFTY 500","03 Feb 2026","37439.87","34534"
"NIFTY 500","02 Feb 2026","36466.76","33636.44"
"NIFTY 500","01 Feb 2026","36106.27","33304.75"
"NIFTY 500","30 Jan 2026","36853.92","33994.39"
"NIFTY 500","29 Jan 2026","36940.90","34074.91"
"NIFTY 500","28 Jan 2026","36856.46","33997.09"
"NIFTY 500","27 Jan 2026","36436.73","33609.94"
"NIFTY 500","23 Jan 2026","36255.23","33443.44"
"NIFTY 500","22 Jan 2026","36738.03","33888.86"
"NIFTY 500","21 Jan 2026","36460.89","33633.21"
"NIFTY 500","20 Jan 2026","36638.57","33797.18"
"NIFTY 500","19 Jan 2026","37319.93","34425.83"
"NIFTY 500","16 Jan 2026","37498.02","34590.11"
"NIFTY 500","14 Jan 2026","37469.50","34566.77"
"NIFTY 500","13 Jan 2026","37477.21","34573.88"
"NIFTY 500","12 Jan 2026","37524.71","34623.63"
"NIFTY 500","09 Jan 2026","37455.92","34560.15"
"NIFTY 500","08 Jan 2026","37795.55","34873.53"
"NIFTY 500","07 Jan 2026","38332.63","35369.09"
"NIFTY 500","06 Jan 2026","38322.83","35360.05"
"NIFTY 500","05 Jan 2026","38399.37","35430.66"
"NIFTY 500","02 Jan 2026","38464.10","35490.4"
"NIFTY 500","01 Jan 2026","38161.77","35211.44"
"NIFTY 500","31 Dec 2025","38101.06","35155.42"
"NIFTY 500","30 Dec 2025","37777.45","34856.83"
"NIFTY 500","29 Dec 2025","37798.74","34876.47"
"NIFTY 500","26 Dec 2025","37955.38","35021"
"NIFTY 500","24 Dec 2025","38067.12","35124.11"
"NIFTY 500","23 Dec 2025","38138.72","35190.17"
"NIFTY 500","22 Dec 2025","38094.83","35149.67"
"NIFTY 500","19 Dec 2025","37791.42","34869.71"
"NIFTY 500","18 Dec 2025","37494.35","34597.86"
"NIFTY 500","17 Dec 2025","37501.66","34605.39"
"NIFTY 500","16 Dec 2025","37619.88","34714.48"
"NIFTY 500","15 Dec 2025","37867.37","34942.85"
"NIFTY 500","12 Dec 2025","37869.00","34944.36"
"NIFTY 500","11 Dec 2025","37589.10","34686.07"
"NIFTY 500","10 Dec 2025","37362.36","34476.84"
"NIFTY 500","09 Dec 2025","37533.89","34635.12"
"NIFTY 500","08 Dec 2025","37549.77","34649.78"
"NIFTY 500","05 Dec 2025","38043.05","35104.97"
"NIFTY 500","04 Dec 2025","37892.73","34966.26"
"NIFTY 500","03 Dec 2025","37853.13","34929.72"
