"IndexName","Date","Total Returns Index","Net Total Return Index"
"NIFTY 500","13 Mar 2023","22446.97","21384.34"
"NIFTY 500","10 Mar 2023","22797.01","21717.8"
"NIFTY 500","09 Mar 2023","22989.73","21901.4"
"NIFTY 500","08 Mar 2023","23172.99","22075.99"
"NIFTY 500","06 Mar 2023","23108.97","22015.1"
"NIFTY 500","03 Mar 2023","22943.96","21857.91"
"NIFTY 500","02 Mar 2023","22652.74","21580.47"
"NIFTY 500","01 Mar 2023","22773.28","21696.43"
"NIFTY 500","28 Feb 2023","22546.35","21480.23"
"NIFTY 500","27 Feb 2023","22592.89","21524.57"
"NIFTY 500","24 Feb 2023","22719.84","21645.52"
"NIFTY 500","23 Feb 2023","22775.81","21699.95"
"NIFTY 500","22 Feb 2023","22830.35","21751.93"
"NIFTY 500","21 Feb 2023","23158.96","22065.5"
"NIFTY 500","20 Feb 2023","23197.00","22101.82"
"NIFTY 500","17 Feb 2023","23298.25","22198.33"
"NIFTY 500","16 Feb 2023","23420.94","22316.13"
"NIFTY 500","15 Feb 2023","23352.25","22250.74"
"NIFTY 500","14 Feb 2023","23231.75","22138.35"
"NIFTY 500","13 Feb 2023","23125.41","22037.05"
"NIFTY 500","10 Feb 2023","23304.12","22208.11"
"NIFTY 500","09 Feb 2023","23325.42","22228.64"
"NIFTY 500","08 Feb 2023","23322.64","22226.18"
"NIFTY 500","07 Feb 2023","23125.02","22039.55"
"NIFTY 500","06 Feb 2023","23174.09","22086.43"
"NIFTY 500","03 Feb 2023","23217.58","22127.94"
"NIFTY 500","02 Feb 2023","23026.24","21947.24"
"NIFTY 500","01 Feb 2023","23038.80","21959.27"
"NIFTY 500","31 Jan 2023","23175.05","22089.15"
"NIFTY 500","30 Jan 2023","23048.29","21968.46"
"NIFTY 500","27 Jan 2023","23080.08","21998.94"
"NIFTY 500","25 Jan 2023","23541.16","22438.43"
"NIFTY 500","24 Jan 2023","23876.66","22758.35"
"NIFTY 500","23 Jan 2023","23899.01","22779.74"
"NIFTY 500","20 Jan 2023","23813.19","22697.94"
"NIFTY 500","19 Jan 2023","23924.61","22804.14"
"NIFTY 500","18 Jan 2023","23994.91","22871.63"
"NIFTY 500","17 Jan 2023","23885.99","22767.81"
"NIFTY 500","16 Jan 2023","23745.24","22633.65"
"NIFTY 500","13 Jan 2023","23808.34","22697.29"
"NIFTY 500","12 Jan 2023","23705.17","22598.93"
"NIFTY 500","11 Jan 2023","23738.93","22631.11"
"NIFTY 500","10 Jan 2023","23775.95","22666.4"
"NIFTY 500","09 Jan 2023","23969.66","22851.08"
"NIFTY 500","06 Jan 2023","23693.33","22587.65"
"NIFTY 500","05 Jan 2023","23870.50","22756.55"
"NIFTY 500","04 Jan 2023","23881.12","22766.67"
"NIFTY 500","03 Jan 2023","24136.79","23010.41"
"NIFTY 500","02 Jan 2023","24083.14","22959.41"
"NIFTY 500","30 Dec 2022","23967.12","22848.79"
"NIFTY 500","29 Dec 2022","24023.53","22902.57"
"NIFTY 500","28 Dec 2022","23942.23","22825.07"
"NIFTY 500","27 Dec 2022","23919.81","22803.7"
"NIFTY 500","26 Dec 2022","23733.97","22626.53"
"NIFTY 500","23 Dec 2022","23342.13","22252.96"
"NIFTY 500","22 Dec 2022","23940.18","22823.12"
"NIFTY 500","21 Dec 2022","24089.23","22965.2"
"NIFTY 500","20 Dec 2022","24397.44","23259.62"
"NIFTY 500","19 Dec 2022","24442.38","23302.46"
"NIFTY 500","16 Dec 2022","24258.00","23126.68"
"NIFTY 500","15 Dec 2022","24486.80","23344.81"
"NIFTY 500","14 Dec 2022","24765.99","23611"
"NIFTY 500","13 Dec 2022","24673.99","23523.3"
"NIFTY 500","12 Dec 2022","24555.31","23410.15"
"NIFTY 500","09 Dec 2022","24531.62","23387.57"
"NIFTY 500","08 Dec 2022","24684.18","23533.01"
"NIFTY 500","07 Dec 2022","24608.00","23460.4"
"NIFTY 500","06 Dec 2022","24702.36","23550.36"
"NIFTY 500","05 Dec 2022","24771.15","23615.94"
"NIFTY 500","02 Dec 2022","24765.44","23610.49"
"NIFTY 500","01 Dec 2022","24828.21","23670.33"
"NIFTY 500","30 Nov 2022","24738.49","23584.8"
"NIFTY 500","29 Nov 2022","24531.13","23387.12"
"NIFTY 500","28 Nov 2022","24487.63","23346.53"
"NIFTY 500","25 Nov 2022","24398.91","23261.94"
"NIFTY 500","24 Nov 2022","24326.89","23193.28"
"NIFTY 500","23 Nov 2022","24105.44","22982.38"
"NIFTY 500","22 Nov 2022","24060.50","22939.71"
"NIFTY 500","21 Nov 2022","23973.98","22857.36"
"NIFTY 500","18 Nov 2022","24124.30","23002.67"
"NIFTY 500","17 Nov 2022","24195.57","23070.83"
"NIFTY 500","16 Nov 2022","24297.65","23168.38"
"NIFTY 500","15 Nov 2022","24345.02","23214.55"
"NIFTY 500","14 Nov 2022","24277.12","23151.26"
"NIFTY 500","11 Nov 2022","24275.37","23150.39"
"NIFTY 500","10 Nov 2022","23950.94","22841"
"NIFTY 500","09 Nov 2022","24148.28","23031.22"
"NIFTY 500","07 Nov 2022","24220.28","23100.4"
"NIFTY 500","04 Nov 2022","24089.43","22975.9"
"NIFTY 500","03 Nov 2022","24017.67","22907.5"
"NIFTY 500","02 Nov 2022","24037.05","22926.11"
"NIFTY 500","01 Nov 2022","24098.84","22985.06"
"NIFTY 500","31 Oct 2022","23919.76","22814.98"
"NIFTY 500","28 Oct 2022","23634.83","22543.68"
"NIFTY 500","27 Oct 2022","23638.82","22547.51"
"NIFTY 500","25 Oct 2022","23492.95","22411.18"
"NIFTY 500","24 Oct 2022","23555.80","22471.17"
"NIFTY 500","21 Oct 2022","23373.43","22297.2"
"NIFTY 500","20 Oct 2022","23421.44","22343"
"NIFTY 500","19 Oct 2022","23354.01","22278.69"
"NIFTY 500","18 Oct 2022","23333.17","22259.29"
"NIFTY 500","17 Oct 2022","23100.15","22037"
"NIFTY 500","14 Oct 2022","22957.38","21901.17"
"NIFTY 500","13 Oct 2022","22825.98","21775.81"
"NIFTY 500","12 Oct 2022","22980.40","21923.12"
"NIFTY 500","11 Oct 2022","22812.98","21763.41"
"NIFTY 500","10 Oct 2022","23168.98","22103.03"
"NIFTY 500","07 Oct 2022","23300.77","22228.76"
"NIFTY 500","06 Oct 2022","23326.09","22252.92"
"NIFTY 500","04 Oct 2022","23190.95","22123.99"
"NIFTY 500","03 Oct 2022","22683.76","21640.13"
"NIFTY 500","30 Sep 2022","22979.45","21924.04"
"NIFTY 500","29 Sep 2022","22627.96","21588.69"
"NIFTY 500","28 Sep 2022","22656.00","21615.44"
"NIFTY 500","27 Sep 2022","22821.33","21773.18"
"NIFTY 500","26 Sep 2022","22818.87","21770.83"
"NIFTY 500","23 Sep 2022","23333.25","22261.59"
"NIFTY 500","22 Sep 2022","23763.44","22672.04"
"NIFTY 500","21 Sep 2022","23802.29","22709.41"
