Scheme_Code,cagr_1yr,cagr_3yr,cagr_5yr,vol_1yr,sharpe_1yr,sortino_1yr,max_drawdown,recovery_time,momentum_6m,consistency_1y,tracking_error_1y,nav_recency,record_count
100033,0.11252112892485777,0.1463615755199812,0.09310489466016492,0.15216141037436737,0.3123073636603399,0.4374415191292102,-0.20772273105745206,13.5,-0.039416655610101325,0.11351351351351352,0.05771595102643436,1,4857
100034,0.044666446499339374,0.07057443389150264,0.024604666313498225,0.16248315091246052,-0.12514253561968122,-0.1567878273382468,-0.23317744868797094,50.5,-0.098018249215854,0.004324324324324324,0.08084827059327655,1,4857
100037,-0.016911583613824943,0.00014174954564238895,-0.002458139394384329,0.03926143151334089,-2.0863116920734712,-1.7733328016583803,-0.04841358470735069,,-0.011541087923879867,0.05758582502768549,0.13569218001964933,1,4774
100038,0.04470080134743015,0.06672381046727183,0.05830725565966377,0.02328705372705395,-0.871694585776949,-1.3025948619374206,-0.01859150177108846,,0.017318003017029238,0.3034330011074197,0.13025847750997557,1,4774
100041,0.0,0.0,0.0,0.002,-10.0,-10.0,-0.0006346469105832789,,0.0,0.08961748633879782,0.14115011637583738,1,6161
100042,0.06279253964538123,0.0691900875822915,0.05901773164849211,0.002693231183305856,-0.8196327030155597,-1.1037301773093866,-0.0003560840632829139,,0.028918085794414683,0.2710382513661202,0.140966528747717,1,6161
100043,0.06279252108075872,0.06919005869605277,0.059017700608148926,0.0026931059767691394,-0.8196777023567203,-1.1037394596206396,-0.00035618345169333447,,0.02891805893768562,0.2710382513661202,0.14096658989145855,1,6161
100044,0.0,0.0,0.0,0.002462452696457884,-10.0,-10.0,-0.001426237648525767,,0.0,0.08961748633879782,0.14115390544092635,1,6161
100046,0.0,0.0,0.0,0.002,-10.0,-10.0,-0.0006094440892402733,,0.0,0.08961748633879782,0.14115333505155297,1,6161
100047,0.06279274914262856,0.06918916264359365,0.05901675864705891,0.0026931082322209443,-0.8195923323702354,-1.1036254286857228,-0.0003560063051249905,,0.028918305487364293,0.2710382513661202,0.14096647597106615,1,6161
100048,-0.00028901734104047616,0.00047458789634169385,0.00036746127353159963,0.018082527962213317,-3.610613376485499,-4.951970691081349,-0.003635364546021993,,0.001838657141799649,0.09508196721311475,0.14014901052581097,1,6161
100051,-0.00012760048288817938,0.00011268706896605529,0.0001502167737628124,0.007923184970834359,-8.219876315222495,-10.0,-0.0018822076602864855,,0.0007513095535045533,0.08961748633879782,0.14046990697652095,1,6161
100057,-0.04197717031088355,-0.005132599684826045,-0.007001339156969433,0.0539921197892409,-1.9813478472130868,-2.2269811986040597,-0.0790968171686721,,-0.019066769600890376,0.03433001107419712,0.1388180091861947,1,4774
100058,0.01848743949404641,0.06117210452427768,0.05355718848482405,0.04446813137384305,-1.045975152743052,-1.5208507587327005,-0.04596385979341547,,0.009821277767004144,0.2812846068660022,0.13376032918336525,1,4774
100063,0.05153563264089067,0.11202289347403083,0.044595024457211085,0.13405912758444283,-0.10043603596202898,-0.13569931319985104,-0.22442580544015048,21.0,-0.1179707365876026,0.12242686890574214,0.08252098821121712,1,4855
100064,0.05153338426017329,0.11201046850793528,0.0568427500148192,0.13405817260347036,-0.10045352311089242,-0.13554703696942105,-0.22442749125075306,21.0,-0.11797866059986473,0.12242686890574214,0.08246961490247012,1,4855
100077,-0.008380882974054038,0.012288701552662706,0.002656777544172373,0.07865713477786633,-0.9329208746452204,-0.5444780087969094,-0.07082569413474718,288.0,0.021820757454216633,0.08546059933407325,0.157294301544203,1,4772
100078,0.06809981960312683,0.07522340243964187,0.060901242666661526,0.013945744349499816,0.22227709941047424,0.39504828829719024,-0.006437627910919474,,0.021815373608365052,0.328159645232816,0.1302590783971323,1,4773
100079,0.0012818444217357339,0.00465349926927594,0.0046974890387609936,0.02887585449498195,-2.2066240702707938,-1.6434222102120297,-0.016183119652447824,,-0.001064210338043381,0.10099889012208657,0.13422584963405973,1,4772
100080,-0.023118613949355882,0.06074534561442935,0.0006451876959201464,0.20542598937938922,-0.4289555290232278,-0.40124690878490016,-0.24442672970669893,14.0,-0.1419161489713734,0.0021668472372697724,0.15069683297965952,1,4857
100081,0.05223800482782104,0.14470645680408278,0.10856211321787623,0.09667317372350064,-0.1320117534227244,-0.19435222425511647,-0.10321561831826384,159.0,-0.04540382608695659,0.34523809523809523,0.06329116646121938,1,4859
100082,-0.03145907473309606,0.05033076383613189,0.0163920634174175,0.1019929744021648,-0.945742344494747,-1.364768235371596,-0.15400429866367638,21.0,-0.08526871239874967,0.06825568797399784,0.06822320477074749,1,4858
100084,0.03860873371722118,0.07099267156267075,0.05931723815320078,0.04281578991326202,-0.6163909701594512,-0.900335891996932,-0.0350503410331123,,0.013590939931815038,0.3093126385809313,0.13381611642976537,1,4772
100085,0.014837322816828591,0.0021620276731817434,0.0044284224301893715,0.0450025453457247,-1.1146631106708487,-1.4056193766413374,-0.06444477215749898,123.5,0.013428668269929167,0.08536585365853659,0.13647399771883226,1,4772
100086,0.0009703664999627382,-0.00019877752349939382,0.004407038186785339,0.0452030863257413,-1.4164880919552394,-1.8105344817311146,-0.04716249623703483,,0.013595865496357717,0.09090909090909091,0.13664368084851,1,4772
100087,0.06681804384879397,0.07117333287577221,0.05921753038168265,0.004650464026464287,0.390938159815466,0.9090219243969855,-0.0005057697682776249,,0.028015532101989926,0.3196448390677026,0.13108577465524401,1,4771
100088,-0.00019165196004056195,0.0033664421678212264,0.005673440938940066,0.049030201356661085,-1.3296223583871503,-0.32630618949885826,-0.033514775116098745,,-0.004302392161852686,0.10432852386237514,0.14493310099944104,1,4771
100089,0.004012356962673103,0.0049182173925599315,0.004216641692982748,0.02016969406417626,-3.023726727994754,-1.5622305805388035,-0.007184672698243628,,0.0009658754385164503,0.1076581576026637,0.13274732595332986,1,4771
100119,0.0750662591780058,0.1611142752784258,0.15791541387460062,0.08981527683198999,0.11207736070151982,0.16186874628297912,-0.09625499887839475,13.0,-0.01928616324311405,0.8023758099352052,0.0632993730864523,1,4858
100120,-0.005122197095605352,0.07157353919354126,0.05810767293037289,0.09375747176145922,-0.7479104947924844,-1.024790034902746,-0.12769489894128974,8.0,-0.05658183697196739,0.09935205183585313,0.06641377891509939,1,4858
100123,0.0013942990597195504,0.016173415239345124,0.005468296649976168,0.03840382885030578,-1.656233319552824,-1.4597478010230736,-0.04250135354629126,,0.005442248296016361,0.07964601769911504,0.1342742146233955,1,4779
100124,0.05044006746580254,0.06951224447338,0.05184757456096234,0.02545027721558677,-0.5720932786256794,-0.8346600601887832,-0.02157795128172077,,0.018769567724925773,0.27654867256637167,0.1313828681710993,1,4779
100174,0.10682605799948064,0.15347507087908197,0.17804577628042262,0.1714386562748088,0.2439709859393395,0.371772888959181,-0.26196461800822085,16.0,-0.03057842741776018,0.5909090909090909,0.07842662836337755,1,4862
100175,0.10688111361926267,0.1534628272691574,0.17742220077054793,0.17143731087235087,0.24429404198043325,0.3722384920947095,-0.26197085299113265,16.0,-0.03057718213684968,0.5865800865800865,0.07842456832961038,1,4862
100176,0.03630149986191311,0.17012765619840065,0.22806232520773984,0.17673206318996504,-0.16238423079596803,-0.23046532604016887,-0.2472837625528121,9.0,-0.10028235138563335,0.6937229437229437,0.09376111593850409,1,4858
100177,0.03630866705380731,0.17007647431188677,0.2274196886354174,0.17673129891986417,-0.1623443788482667,-0.2304155171241913,-0.24728524971903634,9.0,-0.10028802252390279,0.6926406926406926,0.09375967727995005,1,4858
100218,0.07608060252005444,0.13758904486564605,0.11758702857489012,0.14614696723277842,0.07581821730454108,0.11634092124404537,-0.2036728848391205,13.0,-0.04751635732407533,0.518918918918919,0.060093837190115816,1,4862
100219,0.07607888729612311,0.1375988012881424,0.11759191634694299,0.14614772142757354,0.07580608981039416,0.11632370105572595,-0.20367179242772096,13.0,-0.04751801682412682,0.518918918918919,0.06009243047364552,1,4861
100220,0.0163869635939613,0.15338399107399936,0.1357128733518269,0.13072078760793127,-0.3718845127512771,-0.5408934332456026,-0.17051106485539,7.5,-0.0851534225713605,0.6389189189189189,0.07222114653170661,1,4863
100221,0.016387272411682474,0.15339487312954803,0.13571816610101584,0.1307196549828053,-0.371885372515036,-0.5408942907039315,-0.17051236286253996,7.5,-0.0851532531606537,0.6389189189189189,0.07221824061432974,1,4863
100222,0.05615199300237972,0.07071071141979623,0.05248664804810366,0.021415473256581913,-0.4131595361732622,-0.6711182130329434,-0.012165803594441922,,0.01873612466239627,0.27101769911504425,0.12715302200049647,1,4767
100223,0.05615276236301159,0.07071133845089372,0.05248596591350063,0.021419392893997732,-0.41304801124721136,-0.6715143377158389,-0.012168714437541528,,0.018736117388001627,0.27101769911504425,0.12715305338243924,1,4767
100233,-2.725934541214503e-05,-0.00027547793786464325,-3.452586904395538e-05,0.007961858534441459,-8.167346739974946,-10.0,-0.0017871398504969971,,-0.00026344476744177836,0.08908685968819599,0.13677948411163657,1,5992
100234,0.061587090525085264,0.06816355908886562,0.058430350804191455,0.0025764504954128233,-1.3246555604274823,-1.706454737457369,-4.921453600582266e-06,,0.028401212058959624,0.2728285077951002,0.13662781587996708,1,5992
100244,0.06158644328670304,0.06816472349096991,0.05843115332102777,0.0025759844000462525,-1.325146500590481,-1.7067783566484807,-5.7966813998850485e-06,,0.028400883833739288,0.2728285077951002,0.1366258706542002,1,5992
100247,0.06174553521354942,0.06821396543968716,0.058399048520665575,0.0025803110224676745,-1.2612684122622488,-1.627232393225292,-5.707453077588085e-06,,0.028476023304271347,0.2728285077951002,0.13662796114920275,1,5992
100249,0.0,0.0,0.0,,,,,,0.0,,,2378,3242
100250,0.0,0.0,0.0,,,,,,0.0,,,2378,3242
100253,0.0,0.0,0.0,,,,,,0.0,,,2378,3242
100254,0.022516026768337527,0.1647235320148137,0.15286391903504715,0.17272239639975162,-0.24596678900480776,-0.35209398682012416,-0.24514629909535948,12.5,-0.10691578525911793,0.5772972972972973,0.08986941733852183,1,4857
100264,0.013964338733094994,0.056287908374639484,0.05031104507949968,0.04318725141451545,-1.1817297835664453,-1.7644777497768274,-0.04963540199668277,,0.00815869720365936,0.2727272727272727,0.13200765581943177,1,4764
100265,0.013964227690653308,0.056286494522165276,0.05031048098286073,0.04319008627651515,-1.1816547895413139,-1.7643128885438877,-0.04963404852105863,,0.008160272657064649,0.2727272727272727,0.13200731542564237,1,4764
100280,-0.021703685217536073,-0.0005747306685717213,0.001264979753487161,0.048767230446817904,-1.7779087396010522,-2.2162432934594554,-0.061915698896904146,,-0.004073440490506619,0.057649667405764965,0.13472656964044552,1,4764
